קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
528,276,276,דבורייה,18510/23286,גליל תחתון,גל צבי ואבו יונס נביל,12.1996,צלבני,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 109, עמ 44-45",,,,,,,,,,,,,,,,
529,276,276,דבורייה,18510/23286,גליל תחתון,גל צבי ואבו יונס נביל,12.1996,מוסלמי קדום,מאה 8 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 44-45",,,,,,,,,,,,,,,,
530,276,277,דבורייה,1851/2330,גליל תחתון,גל צבי וסאטרפילד סטיוארט,9.1993,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 111",,,,,,,,,,,,,,,,
531,276,277,דבורייה,1851/2330,גליל תחתון,גל צבי וסאטרפילד סטיוארט,9.1993,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 103, עמ 111",,,,,,,,,,,,,,,,
532,276,277,דבורייה,1851/2330,גליל תחתון,גל צבי וסאטרפילד סטיוארט,9.1993,ממלוכית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 103, עמ 111",,,,,,,,,,,,,,,,
533,276,277,דבורייה,1851/2330,גליל תחתון,גל צבי וסאטרפילד סטיוארט,9.1993,עותמנית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 103, עמ 111",,,,,,,,,,,,,,,,
534,276,277,דבורייה,1851/2330,גליל תחתון,גל צבי וסאטרפילד סטיוארט,9.1993,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 111",,,,,,,,,,,,,,,,
535,276,278,דבורייה,1851/2342,גליל תחתון,נגאר נסים,8.1990.,רומית,מאה 1-2 לספירה,מערה,קבר,,,קבר,,"חא 104, עמ 45-46",yes,,,,,,,,,,,,,,,
536,276,279,דבורייה,185/233,גליל תחתון,צורי נחמיה,1965,ברזל 1,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא טו, עמ 10-11",,,,,,,,,,,,,,,,
537,276,279,דבורייה,185/233,גליל תחתון,צורי נחמיה,1965,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא טו, עמ 10-11",,,,,,,,,,,,,,,,
538,280,280,דביה,2184/2684,רמת הגולן,מעוז צבי,8.1982,רומית,מאה 2-4 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא פג, עמ 2",,,,,,,,,,,,,,,,
539,281,281,דגניה א,199/212,גליל תחתון,יוגב אורה,8.1984,ברונזה תיכונה 1,,חירבה,קבר,,,קבר,,"חא פו, עמ 13-14",,,,,,,,,,,,,,,,
540,281,282,דגניה א,199/212,גליל תחתון,כוכבי משה,1.1971,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא לח, עמ 7-8",,,,,,,,,,,,,,,,
541,283,283,דומא,18480/16250,שומרון,חמראן עבדאל רחים ושיאון עפר,1.1992,רומית,,מערה,קבר,,,קבר,,"חא 101-102, עמ 123-124",,,,,,,,,,,,,,,,
542,284,284,דור,142/224,חוף הים הדרומי,דופין קלודין,6-7.1979,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,כנסיה,"חא עג, עמ 17",,,,,,,,,,,,,,,,
543,284,284,דור,142/224,חוף הים הדרומי,דופין קלודין,6-7.1979,מוסלמי קדום,מאה 8-14 לספירה,חירבה,קבר,,,קבר,,"חא עג, עמ 17",,,,,,,,,,,,,,,,
544,285,285,דיר אל אסד,175/260,גליל עליון,פכרי חסון,1973,רומית - ביזנטית,מאה 3-4 לספירה,מערה,קבר,,,קבר,,"חא מז, עמ 4",,,,,,,,,,,,,,,,
545,286,286,דיר אל בלח,0915/0875,חוף הים הדרומי,דותן טרודה,6.1972,ברונזה מאוחרת 3,מאה 13 לפנהס,בית קברות,קבר,,,קבר,,"חא מג, עמ 22-23",,,,,,,,,,,,,,,,
546,287,287,דיר אל חטב,180/180,שומרון,אל פאני איברהים,1975,רומית,מאה 1-2 לספירה,מערה,קבר,,,קבר,,"חא נו, עמ 53",yes,,,,,,,,,,,,,,,
547,288,288,דיר חנא,18450/25215,גליל תחתון,שקד עידן,12.1997,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 111, עמ 131",,,,,,,,,,,,,,,,
548,288,288,דיר חנא,18450/25215,גליל תחתון,שקד עידן,12.1997,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 111, עמ 131",,,,,,,,,,,,,,,,
549,288,288,דיר חנא,18450/25215,גליל תחתון,שקד עידן,12.1997,עותמנית,מאה 18-19 לספירה,חירבה,עירוני,,,שרידי בנייה,,"חא 111, עמ 131",,,,,,,,,,,,,,,,
550,288,288,דיר חנא,18450/25215,גליל תחתון,שקד עידן,12.1997,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 111, עמ 131",,,,,,,,,,,,,,,,
551,289,289,דיר סרס,2148 2728/2145 2726,רמת הגולן,אפשטיין קלר,9.1972,ברונזה תיכונה 1,,חירבה,כפרי,,,מתקן,דולמן,"חא מד, עמ 2",,,,,,,,,,,,,,,,
552,1684,1666,דיר קרוח,2199/2569,רמת הגולן,שיאון דני,9.1999,ביזנטית,מאה 4-6 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 114, עמ' 1",yes,,,,,,,,,,,,,,,
553,290,290,דלית אל כרמל,15480/23340,שומרון,נודל סער,4.1996,רומית - ביזנטית,מאה 2-4 לספירה,מערה,קבר,,,קבר,,"חא 107, עמ 29-30",,,,,,,,,,,,,,,,
554,291,291,דר א-דרב,159/169,שומרון,אל פאני איברהים,1972,הלניסטית,מאה 1 לפנהס,מערה,קבר,,,קבר,,"חא מד, עמ 12",,,,,,,,,,,,,,,,
555,292,292,הגושרים,208/291,גליל עליון,אמיר דוד וזכאי נמרוד,10.1971,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא מא-מב, עמ 4",,,,,,,,,,,,,,,,
556,293,293,הגושרים,208/291,גליל עליון,נוי תמר,7.1978,כלקולית,,חירבה,כפרי,,,שרידי בנייה,,"חא סז-סח, עמ 9",,,,,,,,,,,,,,,,
557,293,294,הגושרים,2084/2917,גליל עליון,קובלו פארן קרן,8.1991,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא 100, עמ 10",,,,,,,,,,,,,,,,
558,293,294,הגושרים,2084/2917,גליל עליון,קובלו פארן קרן,8.1991,ברונזה תיכונה 2א,,מערה,קבר,,,קבר,,"חא 100, עמ 10",,,,,,,,,,,,,,,,
559,293,294,הגושרים,2084/2917,גליל עליון,קובלו פארן קרן,8.1991,הלניסטית,,מערה,קבר,,,קרמיקה בלבד,,"חא 100, עמ 10",,,,,,,,,,,,,,,,
560,293,295,הגושרים,20820/291650,גליל עליון,שקד עידן,2.1990.,רומית - ביזנטית,,מערה,קבר,,,קבר,ללא ממצא מתארך,"חא צז, עמ 4-5",,,,,,,,,,,,,,,,
561,296,296,הזורע,1618/2273,עמק יזרעאל,מאירהוף עזרא,1981,ברונזה ביניימית,,מערה,קבר,,,קבר,,"חא עח-עט, עמ 23",,,,,,,,,,,,,,,,
562,296,296,הזורע,1618/2273,עמק יזרעאל,מאירהוף עזרא,1981,ברונזה קדומה 1,,מערה,קבר,,,קבר,,"חא עח-עט, עמ 23",,,,,,,,,,,,,,,,
563,296,297,הזורע,161/226,עמק יזרעאל,מאירהוף עזרא,1983,ברונזה תיכונה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא פג, עמ 17",,,,,,,,,,,,,,,,
564,296,298,הזורע,1622/2268,עמק יזרעאל,מאירהוף עזרא,1984,ברונזה קדומה,,חירבה,כפרי,,,שרידי בנייה,,"חא צב, עמ 74",,,,,,,,,,,,,,,,
565,296,298,הזורע,1622/2268,עמק יזרעאל,מאירהוף עזרא,1984,כלקולית,,חירבה,כפרי,,,קרמיקה וצור,,"חא צב, עמ 74",,,,,,,,,,,,,,,,
566,296,299,הזורע,161/226,עמק יזרעאל,מאירהוף עזרא,9.1990.,ברונזה קדומה,,חירבה,כפרי,,,קרמיקה בלבד,,"חא צז, עמ 94",,,,,,,,,,,,,,,,
567,296,299,הזורע,161/226,עמק יזרעאל,מאירהוף עזרא,9.1990.,כלקולית,,חירבה,כפרי,,,שרידי בנייה,,"חא צז, עמ 94",,,,,,,,,,,,,,,,
568,296,300,הזורע,161/226,עמק יזרעאל,קפלן יעקב,1966,כלקולית,,חירבה,כפרי,,,שרידי בנייה,,"חא כא, עמ 18-19",,,,,,,,,,,,,,,,
569,296,301,"הזורע, תל אבו זוריק",161/226,עמק יזרעאל,פרו זאן,11.1962,ברונזה קדומה,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא ה, עמ 15",,,,,,,,,,,,,,,,
570,1027,1027,"החותרים, מחצבה",146/239,חוף הים הצפוני,רונן א וציפר ר,7-8.1975,פליאולית תיכון,,,,,,צור בלבד,,"חא נו, עמ 17",,,,,,,,,,,,,,,,
571,302,302,המעפיל,1482/1985,חוף הים הדרומי,פורת יוסף,3.1984,רומית,מאה 1-2 לספירה,חירבה,קבר,,,קבר,,"חא פד, עמ 26-27",,,,,,,,,,,,,,,,
572,303,303,הר אדיר,185/270,גליל עליון,ויטו פאני,5-6.1976,ברזל 1,,חירבה,כפרי,,,שרידי בנייה,,"חא נט-ס, עמ 9-10",,,,,,,,,,,,,,,,
573,303,303,הר אדיר,185/270,גליל עליון,ויטו פאני,5-6.1976,ברזל 2,,חירבה,כפרי,,,שרידי בנייה,,"חא נט-ס, עמ 9-10",,,,,,,,,,,,,,,,
574,304,304,הר אדר,1623/1372,יהודה,דדון מיכאל,5.1991,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 101-102, עמ 76",yes,,,,,,,,,,,,,,,
575,304,304,הר אדר,1623/1372,יהודה,דדון מיכאל,5.1991,עותמנית,,חירבה,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 76",,,,,,,,,,,,,,,,
576,304,304,הר אדר,1623/1372,יהודה,דדון מיכאל,5.1991,פרסית,,מצד,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 76",,,,,,,,,,,,,,,,
577,305,305,הר דימון,1537/0523,הנגב,נחליאלי דב וטהל גיל,4-6.1991,ברונזה קדומה 2,,חירבה,כפרי,כ 60 דונם,,שרידי בנייה,,"חא 99, עמ 89-91",,,,,,,,,,,,,,,,
578,305,305,הר דימון,1537/0523,הנגב,נחליאלי דב וטהל גיל,4-6.1991,ברונזה תיכונה 1,,חירבה,כפרי,כ 60 דונם,,שרידי בנייה,,"חא 99, עמ 89-91",,,,,,,,,,,,,,,,
579,306,306,הר המערה,10730/98170,הנגב,היימן מוטי,2.1981,ברונזה קדומה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא פ-פא, עמ 47",,,,,,,,,,,,,,,,
580,306,307,הר המערה,10730/98170,הנגב,היימן מוטי,11.1980.,אין תיארוך,,חירבה,כפרי,,,שרידי בנייה,שדה טומולי,"חא עז, עמ 42",,,,,,,,,,,,,,,,
581,309,309,הר חורשה,107/989,הנגב,גורינג מוריס נייגל,8.1980.,פליאולית עליון,,,כפרי,,,צור בלבד,,"חא עד-עה, עמ 58",,,,,,,,,,,,,,,,
582,310,310,הר חזון,187/256,גליל תחתון,בהט דן,1968,ביזנטית,,מערה,קבר,,,קבר,,"חא כח-כט, עמ 5",,,,,,,,,,,,,,,,
583,310,310,הר חזון,187/256,גליל תחתון,בהט דן,1968,ברזל,,חירבה,כפרי?,,,שרידי בנייה,,"חא כח-כט, עמ 5",,,,,,,,,,,,,,,,
584,310,310,הר חזון,187/256,גליל תחתון,בהט דן,1968,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,,"חא כח-כט, עמ 5",,,,,,,,,,,,,,,,
585,310,310,הר חזון,187/256,גליל תחתון,בהט דן,1969,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא ל, עמ 11",,,,,,,,,,,,,,,,
586,310,310,הר חזון,187/256,גליל תחתון,בהט דן,1969,ממלוכית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא ל, עמ 11",,,,,,,,,,,,,,,,
587,310,310,הר חזון,187/256,גליל תחתון,בהט דן,1969,פרסית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא ל, עמ 11",,,,,,,,,,,,,,,,
588,311,311,הר חריף,107/989,הנגב,כהן רודולף,5.1979,ברונזה קדומה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא סט-עא, עמ 20-21",,,,,,,,,,,,,,,,
589,311,311,הר חריף,107/989,הנגב,כהן רודולף,5.1979,ברונזה תיכונה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא סט-עא, עמ 20-21",,,,,,,,,,,,,,,,
590,312,312,הר יבנית,1986/8665,סיני,ויטו פאני,1974,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא נג, עמ 39",,,,,,,,,,,,,,,,
591,312,312,הר יבנית,1986/8665,סיני,ויטו פאני,1974,מוסלמי קדום,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא נג, עמ 39",,,,,,,,,,,,,,,,
592,314,314,הר צוריעז,1383/9787,הנגב,אבני גדעון,9.1985,ברונזה קדומה,,חירבה,קבר,,,קבר,,"חא צב, עמ 70-71",,,,,,,,,,,,,,,,
593,314,314,הר צוריעז,1383/9787,הנגב,אבני גדעון,9.1985,כלקולית,,חירבה,קבר,,,קבר,,"חא צב, עמ 70-71",,,,,,,,,,,,,,,,
594,315,315,הר רמון,1152/9903,הנגב,כהן רודולף,2.1981,ברונזה תיכונה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא עז, עמ 41-42",,,,,,,,,,,,,,,,
595,316,316,הרודיון,1731/1192,יהודה,נצר אהוד,8-9.1973,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,כנסייה,"חא מח-מט, עמ 70-71",,,,,,,,,,,,,,,,
596,316,316,הרודיון,1731/1192,יהודה,נצר אהוד,8-9.1973,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא מח-מט, עמ 70-71",,,,,,,,,,,,,,,,
597,316,317,הרודיון,1731/1192,יהודה,נצר אהוד ודמתי עמנואל,7-10.1972,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא מה, עמ 27-28",yes,,,,,,,,,,,,,,,
598,318,318,הרטוב,1492/1296,יהודה,וינבלט דלית,10.1997,ברונזה קדומה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא 110, עמ 119-120",,,,,,,,,,,,,,,,
599,319,319,הרצליה ב,1327/1753,חוף הים הדרומי,אייש עדנה,6.1993,רומית - ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 68-69",,,,,,,,,,,,,,,,
600,319,320,הרצליה ג,13285/17475,חוף הים הדרומי,לוי יוסי,10.1990.,מוסלמי קדום,מאה 8-9 לספירה,מערה,קבר,,,קבר,,"חא צז, עמ 95",,,,,,,,,,,,,,,,
601,319,320,הרצליה ג,13285/17475,חוף הים הדרומי,לוי יוסי,10.1990.,רומית,מאה 2-3 לספירה,מערה,קבר,,,קבר,,"חא צז, עמ 95",,,,,,,,,,,,,,,,
602,319,321,הרצליה ג,13275/17492,חוף הים הדרומי,בלוקמן נגה,1-2.1995,רומית - ביזנטית,,חירבה,כפרי,,,מתקן,כנראה בור אחסון,"חא 107, עמ 148",,,,,,,,,,,,,,,,
603,322,322,ואדי אום גדלה,9750/8872,סיני,רותנברג בנו,9.1973,ברונזה קדומה 1,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא נ, עמ 25-26",,,,,,,,,,,,,,,,
604,322,322,ואדי אום גדלה,9750/8872,סיני,רותנברג בנו,9.1973,כלקולית,,חירבה,כפרי?,,,שרידי בנייה,,"חא נ, עמ 25-26",,,,,,,,,,,,,,,,
605,323,323,ואדי גיבל,מערב לסנטה קטרינה וגבל מוסא,סיני,גורן אבנר,11.1975,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא נז-נח, עמ 46-47",,,,,,,,,,,,,,,,
606,324,324,ואדי גיבע,דרום סיני,הנגב,בר יוסף ע וגורינג מוריס נ,1.1979,ניאולית קק,,חירבה,כפרי,,,צור בלבד,,"חא סט-עא, עמ 79-80",,,,,,,,,,,,,,,,
607,325,325,ואדי זערה,7831/0581,סיני,רותנברג בנו,1973,ברונזה קדומה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא נ, עמ 23-25",,,,,,,,,,,,,,,,
608,325,325,ואדי זערה,7831/0581,סיני,רותנברג בנו,1973,ניאולית קק ב,,חירבה,כפרי?,,,שרידי בנייה,,"חא נ, עמ 23-25",,,,,,,,,,,,,,,,
609,326,326,ואדי חסיף,לרגלי גבל צרביט אל חדם,סיני,בית אריה יצחק,12.1974,כלקולית,,חירבה,כפרי?,,,שרידי בנייה,,"חא נג, עמ 36-37",,,,,,,,,,,,,,,,
610,327,327,ואדי טבייק,דרום סיני,סיני,בר יוסף עופר וגורן אבנר,9-10.1977,ניאולית קק ב,,חירבה,כפרי,"כ 200 מ""ר",,שרידי בנייה,,"חא סג-סד, עמ 77-79",,,,,,,,,,,,,,,,
611,328,328,זיקים,1034/1122,חוף הים הדרומי,נוי תמר,8.1974,ניאולית קראמית,,חירבה,כפרי?,,,קרמיקה וצור,,"חא נג, עמ 23",,,,,,,,,,,,,,,,
612,329,329,זכרון יעקב - נווה רמז,145900-50/218720-50,חוף הים הדרומי,לרר יואב,7.1998,ביזנטית,,מחצבה,כפרי,,,מתקן,,"חא 111, עמ 133",,,,,,,,,,,,,,,,
613,329,330,זכרון יעקב - נווה רמז,14575/21875,חוף הים הדרומי,פיילשטוקר מרטין,2.1998,ברונזה קדומה 2,,מחצבה,כפרי,,,מתקן,"המחצבות תוארכו ע""ב השוואה ולצידם קבר","חא 111, עמ 38",,,,,,,,,,,,,,,,
614,329,331,"זכרון יעקב, נוה רמז",145825-925/218635-700,חוף הים הדרומי,פיילשטוקר מרטין,7.1997,רומית - ביזנטית,,מחצבה,עירוני,,,מתקן,,"חא 110, עמ 38-40",,,,,,,,,,,,,,,,
615,329,332,"זכרון יעקב, נווה רמז",1468/2186,חוף הים הדרומי,ארגמן יצחק,4.1997,אין תיארוך,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,רוגום ללא ממצא מתארך,"חא 109, עמ 53",,,,,,,,,,,,,,,,
616,329,333,"זכרון יעקב, נווה רמז",14630/21915,חוף הים הדרומי,יבור צבי,3.1995,רומית,,חירבה,כפרי,,,שרידי בנייה,דרך ומדרגות עיבוד,"חא 106, עמ 63-64",,,,,,,,,,,,,,,,
617,329,1815,"זכרון יעקב, נווה רמז",14583/21865,חוף הים הדרומי,נודל סער,5.1997,ביזנטית,,מחצבה,כפרי?,,,מתקן,"לא נתגלתה קרמיקה , התיארוך על סמך דימיון","חא 113, עמ' 173",,,,,,,,,,,,,,,,
618,1685,1791,"ח' א-טהיריה, אתר 90",1434-6/1502-4,חוף הים הדרומי,בירמן גלית,8-9.1998,ברזל 2,,מחצבה,כפרי?,,,מתקן,,"חא 113, עמ' 100-101",,,,,,,,,,,,,,,,
619,1685,1792,"ח' א-טהיריה, אתר 91",1434-6/1500-2,חוף הים הדרומי,בירמן גלית,8-9.1998,פרסית,,חירבה,כפרי,,,מתקן,,"חא 113, עמ' 100-101",,,,,,,,,,,,,,,,
620,1685,1792,"ח' א-טהיריה, אתר 91",1434-6/1500-2,חוף הים הדרומי,בירמן גלית,8-9.1998,רומית,,חירבה,כפרי,,,מתקן,בור,"חא 113, עמ' 100-101",,,,,,,,,,,,,,,,
621,1685,1792,"ח' א-טהיריה, אתר 91",1434-6/1500-2,חוף הים הדרומי,בירמן גלית,8-9.1998,ביזנטית,,חירבה,כפרי,,,קרמיקה בלבד,,"חא 113, עמ' 100-101",,,,,,,,,,,,,,,,
622,1686,1787,ח' א-רושאניה,1586/1559,יהודה,יתאח מישל,1992,רומית,,חירבה,כפרי,,,מתקן,,"חא 113, עמ' 91",,,,,,,,,,,,,,,,
623,1687,1752,ח' א-שק (צפון),19745/19455,עמק הירדן,פלג יובל,12.1993,ברזל 2,,מצד,כפרי,,,שרידי בנייה,לצדה נחפרה גם מערה מאותה התקופה,"חא 113, עמ' 54-55",,,,,,,,,,,,,,,,
624,1688,1802,ח' אבו שואן,16435/12625,יהודה,ברוך יובל,9-11.1995,ברזל 2ג,,חירבה,כפרי,,,שרידי בנייה,בית חווה וגת,"חא 113, עמ' 141-143",,,,,,,,,,,,,,,,
625,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",ברונזה קדומה,,חירבה,כפרי,,,קרמיקה בלבד,,"חא 114, עמ' 52-53",,,,,,,,,,,,,,,,
626,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",ברונזה תיכונה,,חירבה,כפרי,,,קרמיקה בלבד,,"חא 114, עמ' 52-53",,,,,,,,,,,,,,,,
627,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",ברונזה מאוחרת,,חירבה,כפרי,,,קרמיקה בלבד,,"חא 114, עמ' 52-53",,,,,,,,,,,,,,,,
628,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",ברזל,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 114, עמ' 52-53",,,,,,,,,,,,,,,,
629,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",פרסית,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 114, עמ' 52-53",,,,,,,,,,,,,,,,
630,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",הלניסטית,,חירבה,עירוני,,,שרידי בנייה,,"חא 114, עמ' 52-53",yes,,,,,,,,,,,,,,,
631,1689,1680,"ח' ברנאט, מערב",146-7/157-8,חוף הים הדרומי,טורגה חגית,"4-7, 11.1998",רומית,,חירבה,עירוני,,,שרידי בנייה,,"חא 114, עמ' 52-53",yes,,,,,,,,,,,,,,,
632,1690,1788,ח' דיר ערב,1516/1577,יהודה,יתאח מישל,1993,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,מנזר,"חא 113, עמ' 92-93",,,,,,,,,,,,,,,,
633,1691,1732,ח' לסן,11141/10176,חוף הים הדרומי,נחשוני פרחיה ונגר יוסי,10.1999,ביזנטית,,בית קברות,קבר,,,קבר,,"חא 114, עמ' 145",,,,,,,,,,,,,,,,
634,1692,1689,ח' נגמת אל הדלי,15455/14530,יהודה,בץ שחר,7.1998,רומית,,חירבה,כפרי?,,,שרידי בנייה,מקווה לצד הדרך הראשית,"חא 114, עמ' 65-67",yes,,,,,,,,,,,,,,,
635,1692,1689,ח' נגמת אל הדלי,15455/14530,יהודה,בץ שחר,7.1998,ביזנטית,,חירבה,כפרי?,,,מתקן,כשבן סיד,"חא 114, עמ' 65-67",,,,,,,,,,,,,,,,
636,1692,1689,ח' נגמת אל הדלי,15455/14530,יהודה,בץ שחר,7.1998,מוסלמי קדום,,חירבה,כפרי?,,,שרידי בנייה,תיקונים בדרך,"חא 114, עמ' 65-67",yes,,,,,,,,,,,,,,,
637,1693,1803,ח' סאבאר,1665/1232,יהודה,ברוך יובל ושרוך איברהים,1995,פרסית,,חירבה,כפרי,,,שרידי בנייה,,"חא 113, עמ' 143-144",,,,,,,,,,,,,,,,
638,1694,1713,ח' עמודה,11350-60/11280-93,חוף הים הדרומי,עין גדי מיקי,8.1998,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 114, עמ' 114-117",yes,,,,,,,,,,,,,,,
639,334,334,ח א-זהריה,17354/13669,יהודה,ברוש מנשה ופורת יוסף,1975,ברונזה מאוחרת,,מערה,כפרי,,,קרמיקה בלבד,,"חא נז-נח, עמ 25",,,,,,,,,,,,,,,,
640,334,334,ח א-זהריה,17354/13669,יהודה,ברוש מנשה ופורת יוסף,1975,ברונזה קדומה 1,,מערה,כפרי,,,קרמיקה בלבד,,"חא נז-נח, עמ 25",,,,,,,,,,,,,,,,
641,334,334,ח א-זהריה,17354/13669,יהודה,ברוש מנשה ופורת יוסף,1975,רומית - ביזנטית,,מערה,כפרי,,,קרמיקה בלבד,,"חא נז-נח, עמ 25",,,,,,,,,,,,,,,,
642,335,335,ח א-נבי בולוס א,14822/12462,יהודה,רפיאנו יהודה ויאס גפרי,10-11.1994,פרסית,,חירבה,כפרי?,כ 14 דונם,,קרמיקה בלבד,,"חא 105, עמ 81-82",,,,,,,,,,,,,,,,
643,335,335,ח א-נבי בולוס א,14822/12462,יהודה,רפיאנו יהודה ויאס גפרי,10-11.1994,הלניסטית,,מערה,כפרי?,כ 14 דונם,,שרידי בנייה,,"חא 105, עמ 81-82",,,,,,,,,,,,,,,,
644,335,335,ח א-נבי בולוס א,14822/12462,יהודה,רפיאנו יהודה ויאס גפרי,10-11.1994,רומית,,חירבה,כפרי?,כ 14 דונם,,קרמיקה בלבד,,"חא 105, עמ 81-82",,,,,,,,,,,,,,,,
645,335,335,ח א-נבי בולוס א,14822/12462,יהודה,רפיאנו יהודה ויאס גפרי,10-11.1994,ביזנטית,מאה 3-7 לספירה,חירבה,כפרי?,כ 14 דונם,,שרידי בנייה,,"חא 105, עמ 81-82",,,,,,,,,,,,,,,,
646,335,335,ח א-נבי בולוס א,14822/12462,יהודה,רפיאנו יהודה ויאס גפרי,10-11.1994,עבאסי,,חירבה,כפרי?,כ 14 דונם,,קרמיקה בלבד,,"חא 105, עמ 81-82",,,,,,,,,,,,,,,,
647,335,335,ח א-נבי בולוס א,14822/12462,יהודה,רפיאנו יהודה ויאס גפרי,10-11.1994,ממלוכית,,חירבה,כפרי?,כ 14 דונם,,שרידי בנייה,,"חא 105, עמ 81-82",,,,,,,,,,,,,,,,
648,335,336,ח א-נבי בולוס ב,148/124,יהודה,להמן גונר,7.1995,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
649,335,336,ח א-נבי בולוס ב,148/124,יהודה,להמן גונר,7.1995,אומאי,,חירבה,כפרי?,,,שרידי בנייה,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
650,335,336,ח א-נבי בולוס ב,148/124,יהודה,להמן גונר,7.1995,ממלוכית,,חירבה,כפרי?,,,שרידי בנייה,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
651,335,337,ח א-נבי בולוס ג,14822/12460,יהודה,דגן יהודה,11.1995,כלקולית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
652,335,337,ח א-נבי בולוס ג,14822/12460,יהודה,דגן יהודה,11.1995,ברונזה קדומה 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
653,335,337,ח א-נבי בולוס ג,14822/12460,יהודה,דגן יהודה,11.1995,ביזנטית,מאה 4-5 לספירה,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
654,335,337,ח א-נבי בולוס ג,14822/12460,יהודה,דגן יהודה,11.1995,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,,"חא 105, עמ 83",,,,,,,,,,,,,,,,
